China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Name,CrowdStrike,IRL,Kaspersky,Secureworks,Mandiant,FireEye,Symantec,iSight,Cisco (Sourcefire/VRT > Talos),Palo Alto Unit 42,Other Names,Operation 1,Operation 2,Operation 3,Operation 4,Toolset / Malware,Targets,Modus Operandi,Overlaps to,Comment,Link 1,Link 2,Link 3,Link 4,Link 5,Link 6,Link 7,Link 8,Link 9,Link 10,Link 11,Link 12,Link 13,Link 14,Link 15
Naikon,Lotus Panda,PLA Unit 78020,Naikon,,APT30,,Thrip,,,,,MsnMM,Naikon,Camera Shy,,"RARSTONE, BACKSPACe, NETEAGLE, XSControl","satellite communications operator, Telecoms, and Defense Companies, Hong Kong",,,,https://securelist.com/analysis/publications/69953/the-naikon-apt/,http://blog.trendmicro.com/trendlabs-security-intelligence/rarstone-found-in-targeted-attacks/,https://www.threatconnect.com/camerashy/,http://www.crowdstrike.com/blog/rhetoric-foreshadows-cyber-activity-in-the-south-china-sea/,https://www.symantec.com/blogs/threat-intelligence/thrip-hits-satellite-telecoms-defense-targets,https://www.crowdstrike.com/resources/reports/2019-crowdstrike-global-threat-report/,https://www.symantec.com/blogs/threat-intelligence/thrip-apt-south-east-asia,,,,,,,,
Lotus Blossom,,,Spring Dragon,,,,,,,Lotus Blossom,"ST Group, Esile",Operation Lotus Blossom,,,,"Elise Backdoor, Lstudio, CVE-2017-11882",,,,,https://securelist.com/blog/research/70726/the-spring-dragon-apt/,http://researchcenter.paloaltonetworks.com/2015/06/operation-lotus-blossom/,https://securelist.com/blog/research/70726/the-spring-dragon-apt/,http://www.trendmicro.com.my/vinfo/my/security/news/cyber-attacks/esile-targeted-attack-campaign-hits-apac-governments,http://researchcenter.paloaltonetworks.com/2015/12/attack-on-french-diplomat-linked-to-operation-lotus-blossom/,https://community.rsa.com/community/products/netwitness/blog/2018/01/30/apt32-continues-asean-targeting,https://www.accenture.com/t20180127T003755Z__w__/us-en/_acnmedia/PDF-46/Accenture-Security-Dragonfish-Threat-Analysis.pdf,,,,,,,,
APT6,,,,,APT6,,,,,,1.php Group,,,,,"Poison Ivy, ",US Government Organizations,,,Overlaps with Operation Night Dragon,https://motherboard.vice.com/read/fbi-flash-alert-hacking-group-has-had-access-to-us-govt-files-for-years,https://www.zscaler.com/pdf/technicalbriefs/tb_advanced_persistent_threats.pdf,https://www.zscaler.com/blogs/research/1php-group-intrusion-set-paper,https://paper.seebug.org/papers/APT/APT_CyberCriminal_Campagin/2011/tb_advanced_persistent_threats.pdf,,,,,,,,,,,
APT26,Turbine Panda,,,,APT26,,,Hippo Team,,,JerseyMikes,,,,,"Cobalt, QuickPulse, credential stealers 
such as WCE, GSECDUMP, COATHOOK, HTRAN, SOGU, TWOCHAINS, QUICKBALL","Affected Industry: Aerospace and Defense, business and Professional Services/Legal/Accounting, High Tech Software and hardware services",Supply-chain attacks such as strategic web compromise (SWC) where the actor compromise 3rd-party service provider hosting the victim websites,,,https://go.crowdstrike.com/rs/281-OBQ-266/images/15GlobalThreatReport.pdf?mkt_tok=3RkMMJWWfF9wsRojuKrPZKXonjHpfsX/7e8tWrHr08Yy0EZ5VunJEUWy2ocITtQ/cOedCQkZHblFnV4AS626XrENqKML,https://www.crowdstrike.com/resources/wp-content/brochures/reports/huge-fan-of-your-work-intelligence-report.pdf,https://digit.fyi/lengthy-cyber-espionage-operation-helped-china-develop-c919-airliner/,,,,,,,,,,,,
Mirage,Vixen Panda,Ke3Chang,Playful Dragon,GREF,APT15,,,Social Network Team,,,"Mirage Team, Lurid, Social Network Team, Royal APT, Metushy, Winnti Umbrella",Umbrella Revolution,,,,"Mirage, (Nvidia program side-loading) PlugX, XSLCmd, TidePool, BS2005, RoyalCli, iWebRat, Russian-language decoy document, ENFAL, ENDCMD, QUICKHEAL, SOGU, CYFREE, MIRAGE, NOISEMAKER, QUICKHEAL, SWALLOWFLY","PH, VN, TW, US, UK, IT, PL, UN, SG, NATO - Gov, Political party",,,Some vendors track this group in up to 3 separate groups,http://arstechnica.com/security/2015/04/elite-cyber-crime-group-strikes-back-after-attack-by-rival-apt-gang/,https://www.fireeye.com/blog/threat-research/2014/09/forced-to-adapt-xslcmd-backdoor-now-on-os-x.html,https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/wp-operation-ke3chang.pdf,http://researchcenter.paloaltonetworks.com/2016/05/operation-ke3chang-resurfaces-with-new-tidepool-malware/,https://www.nccgroup.trust/uk/about-us/newsroom-and-events/blogs/2018/march/apt15-is-alive-and-strong-an-analysis-of-royalcli-and-royaldns/,https://github.com/nccgroup/Royal_APT,https://www.intezer.com/miragefox-apt15-resurfaces-with-new-tools-based-on-old-ones/,https://401trg.com/burning-umbrella/,https://www.crowdstrike.com/resources/reports/2019-crowdstrike-global-threat-report/,https://www.welivesecurity.com/2019/07/18/okrum-ke3chang-targets-diplomatic-missions/,,,,,
NetTraveler,,,NetTraveler,,APT21,,,,,,,,,,,NetTraveler,This threat actor targets computer networks associated with Tibetan and Uyghur activists for espionage purposes.,,,,https://securelist.com/blog/research/35936/nettraveler-is-running-red-star-apt-attacks-compromise-high-profile-victims/,https://securelist.com/blog/incidents/57455/nettraveler-is-back-the-red-star-apt-returns-with-new-tricks/,,,,,,,,,,,,,
Ice Fog,Dagger Panda,,IceFog,,,ICEFOG,,,,,Fucobha,,,,,"Dagger Three (C2 software), Fucobha Backdoor","This threat actor targets government institutions, military contractors, maritime and shipbuilding groups, telecommunications operators, and others, primarily in US, Taiwan, Japan and South Korea.",,Links to Onion Dog,,https://securelist.com/blog/research/57331/the-icefog-apt-a-tale-of-cloak-and-three-daggers/,https://securelist.com/blog/incidents/58209/the-icefog-apt-hits-us-targets-with-java-backdoor/,http://kasperskycontenthub.com/wp-content/uploads/sites/43/vlpdfs/icefog.pdf,http://www.darkreading.com/attacks-and-breaches/java-icefog-malware-variant-infects-us-businesses/d/d-id/1113451,https://www.anomali.com/blog/analyzing-digital-quartermasters-in-asia-do-chinese-and-indian-apts-have-a-shared-supply-chain,https://speakerdeck.com/ashley920/into-the-fog-the-return-of-icefog-apt,,,,,,,,,
Beijing Group,Sneaky Panda,,,,,,,,,,"Hydraq, SIG22, Elderwood, Elderwood Gang",Aurora,,,,"Hydraq, Elderwood Project","This threat actor targets private sector companies in the defense, shipping, aeronautics, arms, and energy sectors, as well as nonprofits and financial firms.",,,"Possibly assisted in Operation Aurora, the RSA incident, and the Joint Strike Fighter Program compromise",https://en.wikipedia.org/wiki/Operation_Aurora#Attackers_involved,http://www.symantec.com/content/en/us/enterprise/media/security_response/whitepapers/the-elderwood-project.pdf,http://www.csmonitor.com/USA/2012/0914/Stealing-US-business-secrets-Experts-ID-two-huge-cyber-gangs-in-China,https://blog.crysys.hu/2018/03/territorial-dispute-nsas-perspective-on-apt-landscape/,,,,,,,,,,,
APT22,,,,,,,,,,,,,,,,China Chopper,,,,Possible overlap with Beijing Group,http://www.slideshare.net/CTruncer/ever-present-persistence-established-footholds-seen-in-the-wild,,,,,,,,,,,,,,
Suckfly,,,,,,,,,,,,,,,,"Nidiran, Korplug, PlugX",Indian organisations and Republic of Korea,,,,http://www.symantec.com/connect/blogs/suckfly-revealing-secret-life-your-code-signing-certificates,,,,,,,,,,,,,,
APT4,Samurai Panda,PLA Navy,,,APT4,APT4,,Wisp Team,,,,,,,,,,,,“PdPD” (50 64 50 44) marker for encrypted binaries,http://www.crowdstrike.com/blog/whois-samurai-panda/,,,,,,,,,,,,,,
Pitty Tiger,Pitty Panda,,,,,Pitty Tiger,,,,,,,,,,"PittyTiger, Paladin RAT",,,,"""Pitty Tiger"" was originally the name of a malware payload by the malware tracker blog. Airbus and FireEye identified the actor as Chinese.  CrowdStrike uses ""tiger"" when naming adversaries alligned with India.  Crowdstrike associates the actor with the name ""Pitty Panda"" conforming to their naming convention for Chinese actors.",http://blog.airbuscybersecurity.com/post/2014/07/The-Eye-of-the-Tiger2,https://www.fireeye.com/blog/threat-research/2014/07/spy-of-the-tiger.html,http://blog.malwaretracker.com/2013/06/tomato-garden-campaign-possible.html,,,,,,,,,,,,
Scarlet Mimic,,,,,,,,,,Scarlet Mimic,,,,,,"FakeM, Psylo, MobileOrder",Uyghur and Tibetan activists as well as those who are interested in their causes,,,,http://researchcenter.paloaltonetworks.com/2016/01/scarlet-mimic-years-long-espionage-targets-minority-activists/,,,,,,,,,,,,,,
C0d0so,Codoso,,,,APT19,Sunshop Group,,,,,,Bassos Campaign,,,,"Bergard Trojan, Derusbi, TXER","Forbes,  Defense, Finance, Energy, Government, Political Dissidents, Global Think Tanks",Watering Hole,,,https://www.proofpoint.com/us/exploring-bergard-old-malware-new-tricks,http://www.isightpartners.com/2015/02/codoso/#sthash.VJMDVPQB.dpuf,http://researchcenter.paloaltonetworks.com/2016/01/new-attacks-linked-to-c0d0s0-group/,https://www.proofpoint.com/us/threat-insight/post/exploring-bergard-old-malware-new-tricks,,,,,,,,,,,
SVCMONDR,,,,,,,,,,,,,,,,CVE-2015-2545,"Taiwan, Thailand",,Tamper Panda,“PdPD” (50 64 50 44) marker for encrypted binaries,https://securelist.com/analysis/publications/74828/cve-2015-2545-overview-of-current-threats/,,,,,,,,,,,,,,
Wisp Team,,,,,APT4,,,Wisp Team,,,,,,,,,"Defense Industrial Base, US Government",,,"iSight has mentioned tracking a China-nexus group they dub ""Wisp Team"" - have not resolved this w/ other naming conventions",https://www.isightpartners.com/2014/04/weeks-threatscape-media-highlights-update-2/,https://www.isightpartners.com/2014/09/weeks-threatscape-media-highlights-update-22/,https://www.isightpartners.com/2015/01/threatscape-media-highlights-update-week-january-12/,,,,,,,,,,,,
Mana Team,,,,,,,,Mana Team,,,,,,,,,Australia,,,"iSight has mentioned tracking a China-nexus activity they dub ""Mana Team"", targeting Australian interests - have not resolved this w/ other naming conventions",https://www.isightpartners.com/2016/02/threatscape-media-highlights-update-week-of-february-17th/,,,,,,,,,,,,,,
TEMP.Zhenbao,,,,,,,,TEMP.Zhenbao,,,,,,,,,,,,,https://www.isightpartners.com/2014/11/threatscape-media-highlights-update-week-november-10/,http://www.securityweek.com/plugx-rat-used-gather-intel-afghan-russian-military-report,,,,,,,,,,,,,
SPIVY,,,,,,,,,,,,,,,,,Hong Kong dissidents,,,,http://researchcenter.paloaltonetworks.com/2016/04/unit42-new-poison-ivy-rat-variant-targets-hong-kong-pro-democracy-activists/,,,,,,,,,,,,,,
Mofang,,,,,,,,,,,,,,,,"ShimRAT, ShimRATReporter","Government, military, Critical Infrastructure,Automotive Industry*,Weapon Industry*, This threat actor compromises government and critical infrastructure entities, primarily in Myanmar, for espionage purposes. Myanmar, Canada, United States, Germany, India, South Korea, Singapore",,Superman,,https://blog.fox-it.com/2016/06/15/mofang-a-politically-motivated-information-stealing-adversary/,https://www.threatconnect.com/china-superman-apt/,,,,,,,,,,,,,
DragonOK,,,,,,DragonOK,,,,DragonOK,,,,,,"CVE-2015-1641, Sysget, IsSpace, Rambo Backdoor",Japan,,,,http://researchcenter.paloaltonetworks.com/2015/04/unit-42-identifies-new-dragonok-backdoor-malware-deployed-against-japanese-targets/,http://researchcenter.paloaltonetworks.com/2017/01/unit42-dragonok-updates-toolset-targets-multiple-geographic-regions/,https://blogs.forcepoint.com/security-labs/trojanized-adobe-installer-used-install-dragonok%E2%80%99s-new-custom-backdoor,http://www.morphick.com/resources/news/deep-dive-dragonok-rambo-backdoor,https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/wp-operation-quantum-entanglement.pdf,,,,,,,,,,
Group 27,,,,,,,,,Group 27,,,Seven Pointed Dagger,,,,"Trochilus RAT, PlugX, EvilGrab, 3102 variant of 9002 RAT",,,"Seven Pointed Dagger, Trochilus RAT",,https://www.arbornetworks.com/blog/asert/wp-content/uploads/2016/01/ASERT-Threat-Intelligence-Brief-2015-08-Uncovering-the-Seven-Pointed-Dagger.pdf,https://unit42.paloaltonetworks.com/unit42-trochilus-rat-new-moonwind-rat-used-attack-thai-utility-organizations/,,,,,,,,,,,,,
Tonto Team,,,CactusPete,,,Tonto Team,,,,,,,,,,,,,,,https://www.wsj.com/articles/chinas-secret-weapon-in-south-korea-missile-fight-hackers-1492766403?emailToken=JRrydPtyYnqTg9EyZsw31FwuZ7JNEOKCXF7LaW/HM1DLsjnUp6e6wLgph560pnmiTAN/5ssf7moyADPQj2p2Gc+YkL1yi0zhIiUM9M6aj1HTYQ==,,,,,,,,,,,,,,
TA459,,,,,,,,,,,,,,,,"PlugX, NetTraveler, ZeroT, PCrat, Gh0st","Central Asian countries, Russia, Belarus, Mongolia, and others",,,,https://www.proofpoint.com/us/threat-insight/post/apt-targets-financial-analysts#.WS3IBVFV4no.twitter,,,,,,,,,,,,,,
Tick,,,,BRONZE BUTLER,,,Tick,,,,REDBALDKNIGHT,ENDTRADE,,,,"whoami, procdump, VBS, WCE, Mimikatz, gsecdump, PsExec, Daserf, Gofarer, Datper",,,,,https://www.symantec.com/connect/blogs/tick-cyberespionage-group-zeros-japan,https://www.secureworks.jp/resources/rp-bronze-butler,https://researchcenter.paloaltonetworks.com/2017/07/unit42-tick-group-continues-attacks/,http://blog.jpcert.or.jp/2017/08/detecting-datper-malware-from-proxy-logs.html,https://www.secureworks.com/research/bronze-butler-targets-japanese-businesses,http://blog.trendmicro.com/trendlabs-security-intelligence/redbaldknight-bronze-butler-daserf-backdoor-now-using-steganography/,https://blog.talosintelligence.com/2018/10/tracking-tick-through-recent-campaigns.html,https://blog.trendmicro.com/trendlabs-security-intelligence/operation-endtrade-finding-multi-stage-backdoors-that-tick/,,,,,,,
Lucky Cat,,,,,,,,,,,"Shadow Network, SabPub",,,,,,"A threat actor targets computer networks associated with Tibetan activists, as well as military research and development, aerospace, engineering, and shipping industries in India and Japan.",,,,http://blog.trendmicro.com/trendlabs-security-intelligence/luckycat-redux-inside-an-apt-campaign/,http://www.nartv.org/mirror/shadows-in-the-cloud.pdf,https://securelist.com/blog/incidents/33208/new-version-of-osx-sabpub-confirmed-mac-apt-attacks-19/,http://www.securityweek.com/mac-malware-linked-luckycat-attack-campaign,http://www.infoworld.com/article/2617225/malware/sabpub-malware-proves-macs-are-an-apt-target.html,https://blog.talosintelligence.com/2019/02/exilerat-shares-c2-with-luckycat.html,https://www.symantec.com/content/en/us/enterprise/media/security_response/whitepapers/the_luckycat_hackers.pdf,,,,,,,,
TEMP.Periscope,Leviathan,,,,APT40,Temp.Periscope,,,,,"Temp.Jumper, GADOLINIUM, MUDCARP",,,,,"AIRBREAK, BADFLICK, PHOTO, HOMEFRY, LUNCHMONEY, MURKYTOP, China Chopper, Beacon, BLACKCOFFEE, CVE-2017-11882","maritime-related targets across multiple verticals, including engineering firms, shipping and transportation, manufacturing, defense, government offices, and research universities",,,,https://www.proofpoint.com/us/threat-insight/post/leviathan-espionage-actor-spearphishes-maritime-and-defense-targets,https://www.fireeye.com/blog/threat-research/2018/03/suspected-chinese-espionage-group-targeting-maritime-and-engineering-industries.html,https://www.fireeye.com/blog/threat-research/2018/07/chinese-espionage-group-targets-cambodia-ahead-of-elections.html,https://www.fireeye.com/blog/threat-research/2019/03/apt40-examining-a-china-nexus-espionage-actor.html,https://www.anomali.com/blog/analyzing-digital-quartermasters-in-asia-do-chinese-and-indian-apts-have-a-shared-supply-chain,https://lab52.io/blog/leviathan-geostrategy-and-ttp-technical-tactics-and-procedures/,https://prezi.com/view/jGyAzyy5dTOkDrtwsJi5/,,,,,,,,
PassCV,,,,TG-3279,,,,,,,"Winnti Umbrella, China Cracking Group, ",,,,,"Sabre, Kitkiot, Conpee, Etso, Runxx, dnsenum, s (custom port scanner), rdp_crk, icmp_shell, Jynxkit, Gh0st RAT, NetCommander, Carberp RAT",Gaming Companies,,Winnti,"Personas: Laurentiu Moon, Sincoder",https://blog.cylance.com/digitally-signed-malware-targeting-gaming-companies,https://401trg.com/burning-umbrella/,https://www.secureworks.com/research/threat-group-3279-targets-the-video-game-industry#up2,,,,,,,,,,,,
BARIUM,,,,TG-2633,,,,,,,"Winnti Umbrella, BRONZE ATLAS",,,,,Winnti Rootkit malware,"Electronic gaming, multimedia, Internet content industries, technology companies",,Winnti,,https://cloudblogs.microsoft.com/microsoftsecure/2017/01/25/detecting-threat-actors-in-recent-german-industrial-attacks-with-windows-defender-atp/?source=mmpc,https://401trg.pw/burning-umbrella/,,,,,,,,,,,,,
LEAD,,,,,,,,,,,Winnti Umbrella,Bayer Cyber Attack,,,,Winnti Rootkit malware,"Multinational, multi-industry companies, textiles, chemicals, electronics, pharmaceutical companies, manufacturing",,Winnti,,https://cloudblogs.microsoft.com/microsoftsecure/2017/01/25/detecting-threat-actors-in-recent-german-industrial-attacks-with-windows-defender-atp/?source=mmpc,https://401trg.pw/burning-umbrella/,https://www.france24.com/en/20190404-bayer-victim-cyber-attack-german-media,,,,,,,,,,,,
Iron Group,,,,,,,,,,,Rocke,,,,,XBash,"Cybercrime, Cryptomining, Cryptojacking",,,,https://researchcenter.paloaltonetworks.com/2018/09/unit42-xbash-combines-botnet-ransomware-coinmining-worm-targets-linux-windows/,https://blog.talosintelligence.com/2018/12/cryptomining-campaigns-2018.html,https://unit42.paloaltonetworks.com/malware-used-by-rocke-group-evolves-to-evade-detection-by-cloud-security-products/,https://blog.talosintelligence.com/2018/08/rocke-champion-of-monero-miners.html,https://www.anomali.com/blog/rocke-evolves-its-arsenal-with-a-new-malware-family-written-in-golang#When:18:10:00Z,,,,,,,,,,
